item_id,source_trace_id,input,output,human_label_PASS_or_FAIL,human_reason_1_sentence,human_confidence_high_or_low,judge_label_PASS_or_FAIL,judge_reason_1_sentence,judge_prompt_version,agrees_YES_or_NO,disagreement_type_silent_pass_or_silent_fail,root_cause_judge_error_or_rubric_ambiguity,rubric_change_made
item_01,,,,,,,,,,,,,
item_02,,,,,,,,,,,,,
item_03,,,,,,,,,,,,,
item_04,,,,,,,,,,,,,
item_05,,,,,,,,,,,,,
item_06,,,,,,,,,,,,,
item_07,,,,,,,,,,,,,
item_08,,,,,,,,,,,,,
item_09,,,,,,,,,,,,,
item_10,,,,,,,,,,,,,
item_11,,,,,,,,,,,,,
item_12,,,,,,,,,,,,,
item_13,,,,,,,,,,,,,
item_14,,,,,,,,,,,,,
item_15,,,,,,,,,,,,,
item_16,,,,,,,,,,,,,
item_17,,,,,,,,,,,,,
item_18,,,,,,,,,,,,,
item_19,,,,,,,,,,,,,
item_20,,,,,,,,,,,,,
